customer_id,plan_tier,tenure_months,orders,order_value,revenue,converted
1,Standard,43,1,100.71,100.71,1
2,Basic,35,1,121.37,121.37,1
3,Premium,10,0,184.63,0.0,0
4,Standard,47,1,123.64,123.64,1
5,Basic,47,1,97.92,97.92,1
6,Premium,2,2,81.5,163.01,1
7,Standard,2,1,97.1,97.1,1
8,Standard,12,2,175.04,350.08,1
9,Basic,38,0,37.56,0.0,0
10,Basic,29,1,61.94,61.94,1
11,Basic,25,1,81.57,81.57,1
12,Premium,20,0,152.31,0.0,0
13,Standard,23,1,101.23,101.23,1
14,Standard,30,3,91.12,273.37,1
15,Basic,3,4,86.78,347.11,1
16,Basic,28,0,96.7,0.0,0
17,Standard,11,1,130.02,130.02,1
18,Basic,38,1,74.59,74.59,1
19,Standard,10,3,144.31,432.94,1
20,Standard,4,0,123.58,0.0,0
21,Standard,21,0,146.78,0.0,0
22,Basic,21,1,95.4,95.4,1
23,Premium,25,1,181.54,181.54,1
24,Premium,41,3,182.53,547.58,1
25,Standard,33,2,128.81,257.61,1
26,Basic,18,2,113.67,227.34,1
27,Basic,35,0,92.35,0.0,0
28,Basic,24,3,93.92,281.76,1
29,Basic,11,1,100.6,100.6,1
30,Standard,2,1,75.62,75.62,1
31,Standard,1,0,84.24,0.0,0
32,Premium,11,1,200.71,200.71,1
33,Basic,39,0,72.07,0.0,0
34,Basic,22,0,85.05,0.0,0
35,Basic,22,0,89.75,0.0,0
36,Basic,19,2,135.24,270.48,1
37,Basic,13,2,86.69,173.37,1
38,Basic,34,0,50.36,0.0,0
39,Basic,1,0,93.82,0.0,0
40,Standard,29,2,145.44,290.87,1
41,Basic,45,0,99.98,0.0,0
42,Standard,42,0,131.62,0.0,0
43,Standard,18,1,101.58,101.58,1
44,Basic,41,2,82.12,164.23,1
45,Standard,12,0,98.77,0.0,0
46,Standard,12,1,101.63,101.63,1
47,Basic,17,2,86.09,172.19,1
48,Basic,1,0,107.25,0.0,0
49,Standard,13,2,192.02,384.04,1
50,Basic,41,3,92.75,278.24,1
51,Basic,36,0,100.13,0.0,0
52,Basic,16,4,44.77,179.08,1
53,Standard,15,0,109.01,0.0,0
54,Standard,17,1,158.29,158.29,1
55,Standard,6,0,122.34,0.0,0
56,Standard,8,0,117.38,0.0,0
57,Basic,47,0,144.39,0.0,0
58,Standard,33,0,149.74,0.0,0
59,Basic,32,6,104.47,626.81,1
60,Basic,14,0,88.81,0.0,0
61,Standard,41,2,126.8,253.6,1
62,Basic,9,1,130.09,130.09,1
63,Standard,46,0,175.81,0.0,0
64,Standard,24,2,106.57,213.13,1
65,Standard,16,1,79.4,79.4,1
66,Standard,36,2,121.24,242.47,1
67,Standard,20,5,139.09,695.46,1
68,Basic,13,2,123.87,247.73,1
69,Basic,33,0,88.03,0.0,0
70,Basic,34,0,83.46,0.0,0
71,Basic,29,0,110.85,0.0,0
72,Basic,22,1,72.69,72.69,1
73,Premium,16,1,182.5,182.5,1
74,Basic,19,0,90.1,0.0,0
75,Basic,42,2,88.66,177.31,1
